datetime,open,high,low,close,tomorrow,target,Close_Ratio2,Trend_2,Close_Ratio5,Trend_5,Close_Ratio60,Trend_60,Close_Ratio250,Trend_250,Close_Ratio1000,Trend_1000
2010-04-30,93.965,94.59,93.835,93.855,94.66,1,0.9994143328718987,0.0,1.0007890724133888,1.0,1.024549861590342,33.0,1.0181505582313777,130.0,0.8911685975335439,516.0
2010-05-03,94.12,94.78,93.845,94.66,94.9,1,1.0042702172240936,1.0,1.0077073752342018,2.0,1.032317634517462,33.0,1.026956824678139,130.0,0.8989831803153036,516.0
2010-05-04,94.66,94.975,94.33,94.9,93.88,0,1.0012660898923824,2.0,1.0065975094932011,3.0,1.03398025195778,33.0,1.029619092579443,131.0,0.9014329002605246,516.0
2010-05-05,94.9,94.99,93.54,93.88,91.36,0,0.9945968852632694,1.0,0.9960531341509995,2.0,1.0221318547915152,32.0,1.018583440775731,131.0,0.8919289380795531,515.0
2010-05-06,93.88,93.975,87.98,91.36,91.595,1,0.9863960267760742,0.0,0.9747042067192285,2.0,0.9943972636660237,32.0,0.9913506823175071,131.0,0.8681831515223252,515.0
2010-05-07,91.36,93.24,90.84,91.595,93.02,1,1.0012844688584626,1.0,0.9819466332186237,3.0,0.996656773909235,32.0,0.9940372308535266,131.0,0.8706021864884727,516.0
2010-05-10,92.165,93.54,91.845,93.02,92.81,0,1.0077187660807625,2.0,1.0007423266021882,3.0,1.0116193395256017,32.0,1.009585088964395,131.0,0.884325297967572,516.0
2010-05-11,93.01,93.265,92.22,92.81,93.195,1,0.9988699348867245,1.0,1.0029935266337415,2.0,1.0088683159258287,31.0,1.0074117106374036,130.0,0.8825087423373713,516.0
2010-05-12,92.81,93.29,92.455,93.195,92.6,0,1.002069836832343,1.0,1.0086475605004546,3.0,1.0126653343631973,31.0,1.011696358435894,130.0,0.8863574396560778,516.0
2010-05-13,93.195,93.64,92.59,92.6,92.515,0,0.9967975456820689,1.0,0.9995250636846423,3.0,1.0060870439130918,30.0,1.0054266983133586,129.0,0.8808892895106576,516.0
2010-05-14,92.6,93.085,91.805,92.515,92.54,1,0.9995408259730437,0.0,0.9966281725341491,2.0,1.004985185661277,30.0,1.004613086867677,129.0,0.8802782811650981,515.0
2010-05-17,92.255,92.69,91.77,92.54,91.865,0,1.0001350949717651,1.0,0.997929517318725,2.0,1.0050256713791952,31.0,1.0050548153464292,129.0,0.8807227240748147,515.0
